RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
4570 817 471 5272 502395 4493 38895
6185 914 613 6381 514524 3028 30863
4558 765 513 5495 517000 3946 46035
4659 688 472 5399 495289 4895 31420
4851 833 555 5868 492678 3789 31853
4621 907 475 5215 496536 4801 31887
4763 666 493 5440 566632 4752 35249
4225 1000 668 7146 504023 4120 25653
4249 827 473 5348 493987 3846 25071
4545 753 469 5258 536658 6481 32115
4824 696 538 4554 506804 6581 26240
5126 724 513 5609 494402 4702 28091
4578 763 476 5357 498467 6491 29942
4322 891 502 5529 529173 7288 37316
4713 732 494 5432 498454 8189 28846
4197 642 483 4729 565126 7747 29342
4973 708 535 5424 564063 9233 62118
4220 872 490 5379 569087 8776 89475
5054 899 543 8482 525802 9536 30347
4935 1033 509 5669 514028 8265 30406
4810 789 531 5760 507709 10845 26164
4799 830 496 6004 505268 9810 25829
4715 728 487 5604 505756 10063 34841
5752 896 575 5986 517036 5833 39884
4728 1130 498 5510 600291 10027 128449
4789 756 493 5378 572200 6114 89540
4940 771 513 5788 572414 10852 86221
5072 729 527 5241 516925 7588 26909
4812 739 490 5508 511177 10962 27130
4762 773 494 5649 526546 8745 28665
5082 741 524 5480 517838 11403 27529
4912 714 506 5001 525628 9208 28925
4883 794 515 6441 803936 11839 295666
4892 773 495 4845 684031 8582 133667
5102 588 488 5475 605096 11973 103902
5011 726 494 5668 579507 8392 102011
4839 809 490 5518 498866 12006 26414
4792 745 496 5498 498138 10760 27957
4787 927 496 5578 498635 13666 26728
4842 798 496 5522 792369 11281 262580
4920 1022 515 5864 537361 15259 40711
5083 989 508 5890 534979 11693 38677
4510 766 510 5945 553517 15634 41181
5520 776 513 5951 690040 12383 43663
5679 765 517 6235 541176 19328 40738
5003 702 542 5954 567552 11574 36939
4990 1001 516 5058 544212 15350 36031
5051 922 516 5069 546075 12414 34903
4945 866 521 5994 527494 15536 34102
5306 1088 561 5676 528364 11822 35643
4516 763 518 5977 536591 15494 33861
5053 973 512 5831 526912 12517 27876
5074 840 515 5075 518286 16577 27820
4969 799 512 5865 538559 12626 28726
5030 779 526 5912 530641 17700 27921
5072 768 540 6000 1014189 13773 528596
5015 770 525 5092 998978 18308 411950
4496 820 520 6207 561155 15225 30719
5231 960 513 5892 751018 19434 205988
5211 963 524 5249 634287 16538 51136
