RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
1114 277 172 1384 17864 1131 5158
1276 264 171 1742 17678 1126 5213
1093 268 174 1420 18370 1147 5954
1086 255 174 1434 19473 1172 6785
1120 274 178 1464 24281 1793 9819
1276 524 184 1798 24239 1480 10660
1458 287 176 1856 22568 1290 9444
1241 303 191 1467 23010 1322 10345
1240 303 182 1463 24366 1425 11500
1209 258 182 1810 24643 1428 11960
1124 310 192 1511 25728 1526 14385
1170 336 183 1828 26973 1568 13808
1157 295 186 1459 27152 1723 14798
1357 365 203 1935 28236 1731 15248
1194 352 189 1855 29830 1826 22334
1359 303 194 1894 29658 1893 16653
1186 269 186 1532 31264 2050 18173
1407 256 190 1871 31402 2118 18383
1191 254 189 1916 32376 2433 19356
1167 304 196 1907 34227 2332 20115
1184 301 190 1933 33760 2448 20481
1366 274 190 1943 34297 2560 20923
1169 284 189 1843 35049 2698 21783
1162 301 187 1863 36963 2839 29015
1193 274 192 1994 37181 2973 23057
1196 239 193 1960 37435 3135 23866
1401 293 193 1886 38335 3299 24400
1219 358 193 1900 38803 3458 25087
1184 296 196 1662 37239 3635 25446
1504 263 224 1895 38012 3797 25972
1386 313 199 1972 38774 4020 26640
1225 272 201 1896 39515 4155 27599
1419 235 207 1834 41625 4357 29363
1410 265 201 1996 38099 4554 28578
1376 264 203 1891 37295 4769 28927
1494 280 202 1913 38043 4973 29620
1081 241 206 1992 38505 6680 35610
1797 541 210 2105 44072 5423 31181
1218 341 204 1929 40427 5850 35304
1525 301 208 2169 40958 6051 32949
1473 259 212 1689 40804 6320 32003
1233 309 270 1981 41369 6373 32856
1419 272 209 1983 42006 6617 33299
1165 224 208 1911 42574 6930 33360
1387 281 210 1941 43627 7237 34359
1402 269 228 1964 46503 7436 37384
1198 250 220 1927 45051 7724 35681
1221 236 217 1952 44863 8267 35471
1349 239 214 1645 46585 8332 36056
1496 274 222 1745 45807 8583 36158
1152 212 214 1650 45862 8909 36622
1284 309 217 1689 46376 9192 36703
1232 310 222 1634 46834 9518 37079
1189 253 219 1778 47512 9827 37636
1193 289 219 1688 47569 10182 37871
1171 280 219 1786 48364 10489 38107
1202 394 228 1928 48345 10856 38270
1247 275 239 1793 48849 11204 38749
1238 284 224 1755 50506 11574 39633
1184 340 224 1824 49933 11874 39187
1228 325 224 1684 50010 12298 39326
1183 255 224 1776 50703 12640 39885
1114 275 266 1670 50834 13124 40035
1181 315 227 1660 51254 13401 40303
1232 279 229 1839 55518 13849 44664
1234 366 264 1805 52594 14192 41017
1160 295 233 1740 52840 14872 41495
1140 270 233 1778 58029 15249 45782
1170 329 233 1776 54221 15460 42029
1253 193 236 1733 53943 15804 41672
1205 268 237 1715 53647 16267 41762
1205 251 235 1752 53942 16658 41954
1247 286 237 1737 54246 17187 41765
1076 282 238 1775 54480 17558 42051
1425 346 238 1793 54486 18053 42208
