RIndependent Gonzalez BaselineGreedy Bottleneck Dynamic FullyDynamic ModifiedIncremental
44 104 55 39 98 54 54
43 103 55 41 98 54 43
45 66 55 39 98 53 50
38 101 55 38 98 53 58
44 64 55 40 98 53 54
45 132 55 45 98 53 55
42 89 55 39 98 53 48
41 89 55 35 98 53 61
38 69 53 44 98 53 47
44 104 55 46 98 53 62
45 91 55 50 98 53 49
36 94 55 43 98 53 46
43 85 55 42 98 53 61
46 73 53 46 98 53 63
37 110 53 39 98 53 62
35 181 55 41 98 53 63
46 77 53 45 98 52 63
48 114 52 45 98 52 47
45 58 52 42 98 52 49
44 111 52 43 98 52 49
43 103 52 38 98 52 62
42 136 52 41 98 52 51
39 80 52 36 98 52 57
44 76 52 43 98 52 51
45 222 52 40 98 52 52
35 57 52 39 98 52 55
43 65 52 46 98 52 54
39 103 52 38 98 52 56
46 70 52 38 98 52 49
40 51 52 39 98 52 51
41 64 52 43 98 52 58
43 164 52 39 98 52 45
35 84 50 40 98 50 56
39 79 50 41 98 50 62
48 215 50 47 98 50 44
41 76 50 39 98 50 48
45 71 50 42 98 50 59
41 51 50 47 98 50 49
42 74 50 40 98 50 63
36 60 49 41 98 49 57
44 140 49 36 98 49 48
41 68 49 47 98 49 44
42 74 49 46 98 49 54
36 110 49 37 98 49 54
40 74 49 42 98 49 61
44 95 49 42 98 49 60
39 80 49 41 98 49 55
37 101 49 40 98 49 53
37 113 49 43 98 49 52
39 113 49 37 98 49 56
38 64 49 36 98 49 55
37 184 49 41 98 49 56
36 185 49 39 98 49 47
34 56 49 44 98 49 60
40 137 49 38 98 49 56
36 70 48 38 98 47 58
42 135 47 38 98 47 55
33 141 47 36 98 47 48
35 106 47 39 98 47 40
40 126 47 35 98 47 57
38 81 47 37 98 47 44
33 58 47 40 98 47 55
41 74 47 41 98 47 55
38 62 47 41 98 47 37
39 63 47 35 98 47 59
34 61 47 39 98 47 51
40 70 47 41 98 47 60
36 54 47 39 98 47 47
35 78 47 38 98 47 44
37 112 47 45 98 47 61
42 64 47 33 98 47 54
36 151 47 41 98 47 61
39 75 47 40 98 47 59
41 79 47 39 98 47 60
36 58 47 41 98 47 61
43 68 47 32 98 47 54
37 90 47 40 98 47 58
39 66 47 39 98 47 54
40 95 47 36 98 47 52
35 77 47 38 98 47 37
36 121 47 37 98 47 54
38 174 47 39 98 47 48
37 104 47 40 98 47 61
37 59 47 43 98 47 58
34 68 47 36 98 47 53
41 99 47 37 98 47 54
40 76 47 42 98 47 60
39 57 47 37 98 47 63
39 99 47 35 98 47 59
38 119 47 36 98 47 60
42 105 47 35 98 47 55
36 72 47 40 98 47 57
39 73 47 40 98 47 62
40 120 47 40 98 47 62
38 95 47 37 98 47 62
41 85 47 39 98 47 47
39 56 47 41 98 47 53
37 66 47 35 98 47 48
35 104 47 33 98 47 58
36 103 47 35 98 47 63
39 79 47 37 98 47 54
36 63 47 37 98 47 40
38 61 47 36 98 47 61
35 67 47 44 98 47 47
40 72 47 40 98 47 59
42 89 47 40 98 47 63
34 58 47 36 98 47 51
40 106 47 37 98 47 50
34 77 47 36 98 47 62
41 55 47 36 98 47 59
34 48 47 40 98 47 46
37 74 47 36 98 47 46
41 109 47 38 98 47 58
38 72 47 33 98 47 53
39 62 47 39 98 47 60
32 117 47 41 98 47 56
35 94 47 36 98 47 44
34 80 47 39 98 47 45
36 98 47 33 98 47 48
38 78 47 37 98 47 48
43 53 47 38 98 47 62
38 73 47 37 98 47 57
35 78 47 35 98 47 49
36 145 47 39 98 47 50
37 75 47 39 98 47 63
38 60 47 37 98 47 47
39 85 47 36 98 47 63
38 95 47 38 98 47 58
34 142 47 38 98 47 56
36 96 47 37 98 47 56
40 92 47 35 98 47 62
45 57 47 38 98 47 58
38 70 47 39 98 47 50
38 107 47 39 98 47 44
37 118 47 41 98 47 46
42 68 47 34 98 47 61
37 57 47 37 98 47 43
42 69 47 33 98 47 46
43 57 47 33 98 47 61
34 48 47 39 98 47 41
41 53 47 42 98 47 62
41 51 46 35 364 46 51
34 56 46 36 364 46 59
36 176 46 40 364 46 61
34 182 46 37 364 46 59
35 77 46 41 364 46 58
